Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,1838,USD,100.247667,7.41,101.887944,7.03
US900123CF53,22.03.2024,1928,USD,94.050806,7.42,96.18275,6.92
US900123AW05,05.02.2025,2248,USD,101.18525,7.66,103.451222,7.2
US900123CJ75,14.04.2026,2681,USD,82.552917,7.5,84.676528,7.09
US900123CK49,09.10.2026,2859,USD,84.966583,7.6,87.093667,7.21
US900123CL22,25.03.2027,3026,USD,91.022667,7.69,93.156,7.33
US900123CP36,17.02.2028,3355,USD,85.426917,7.61,87.555389,7.25
US900123CQ19,24.10.2028,3605,USD,89.384653,7.8,91.518681,7.48
US900123AL40,15.01.2030,4053,USD,133.710972,7.91,136.626944,7.59
US900123AT75,14.02.2034,5544,USD,100.968,8.19,103.487444,7.9
US900123AY60,17.03.2036,6306,USD,89.447167,8.2,91.960361,7.91
US900123BB58,05.03.2038,7024,USD,92.836333,8.2,95.351611,7.92
US900123BG46,30.05.2040,7841,USD,86.58325,8.1,89.09575,7.83
US900123BJ84,14.01.2041,8070,USD,81.862,8.0,84.245333,7.73
US900123CB40,16.04.2043,8892,USD,70.917792,7.58,73.294875,7.31
US900123CG37,17.02.2045,9565,USD,86.768917,8.03,89.155722,7.79
US900123CM05,11.05.2047,10378,USD,76.811167,7.84,79.193111,7.59
XS1629918415,14.06.2025,2377,EUR,89.64074,5.48,91.883548,5.04
XS1909184753,16.02.2026,2624,EUR,97.594658,5.69,98.848151,5.47
