Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,3468,USD,106.015972,4.95,110.563889,4.39
US900123AW05,05.02.2025,3788,USD,119.983333,5.00,124.544792,4.51
US900123AL40,15.01.2030,5593,USD,171.743056,5.22,176.092014,4.95
US900123AT75,14.02.2034,7084,USD,130.116667,5.52,134.433333,5.23
US900123AY60,17.03.2036,7846,USD,115.614583,5.62,120.171875,5.30
US900123BB58,05.03.2038,8564,USD,121.612500,5.61,125.922917,5.33
US900123BG46,30.05.2040,9381,USD,116.618750,5.67,120.675000,5.41
US900123BJ84,14.01.2041,9610,USD,105.650000,5.67,110.200000,5.36
US900123CB40,16.04.2043,10432,USD,93.376042,5.48,97.666667,5.18
US900123CG37,17.02.2045,11105,USD,113.912500,5.70,118.467708,5.43
